points,positive,seconds,starter,turnover,ast,blk,reb_d,eff,efgp,ft_m,ft_a,reb_o,pfoul,profile_picture,name_alt,player_id,name,jersey,position,stl,trey_m,trey_a,reb,tsp,two_m,two_a,ugp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
15,-1,2252,〇,1,6,0,2,19,45.8%,4,0,0,1,,高國豪,84,,4,,4,1,2,2,54.5%,4,5,16.8%,37:32,9,4-9,44.4%,3,1-3,33.3%,4,4-4,100%
10,11,875,,1,1,0,2,9,75%,4,2,0,0,,宋宇軒,75,,5,,0,0,0,2,75.3%,3,1,23%,14:35,4,3-4,75%,0,0-0,0%,6,4-6,66.7%
0,4,848,,1,0,0,2,-3,0%,0,0,0,5,,陳堅恩,73,,6,,1,0,4,2,0%,0,1,18.1%,14:08,1,0-1,0%,4,0-4,0%,0,0-0,0%
20,15,2830,〇,5,4,0,6,12,50%,0,2,1,3,,朱雲豪,223,,8,,0,4,9,7,47.9%,4,3,23.3%,47:10,7,4-7,57.1%,13,4-13,30.8%,2,0-2,0%
6,5,1798,,0,10,0,1,14,28.6%,2,2,1,6,,田浩,82,,9,,3,0,1,2,34.2%,2,4,12.8%,29:58,6,2-6,33.3%,1,0-1,0%,4,2-4,50%
5,8,1586,,1,1,0,2,0,22.2%,1,1,1,1,,蕭順議,80,,11,,0,0,2,3,25.3%,2,5,17.7%,26:26,7,2-7,28.6%,2,0-2,0%,2,1-2,50%
5,-2,923,〇,0,0,0,2,4,30%,2,0,1,2,,郭少傑,47,,24,,0,1,1,3,42.5%,0,3,16.6%,15:23,3,0-3,0%,2,1-2,50%,2,2-2,100%
12,-10,1611,〇,2,1,1,5,15,75%,0,0,1,3,,布魯斯巫獅,264,,31,,0,2,2,6,75%,3,1,16.2%,26:51,4,3-4,75%,4,2-4,50%,0,0-0,0%
50,10,3017,〇,5,5,3,21,75,81%,16,6,11,3,,辛巴,246,,35,,0,0,1,32,81.5%,17,3,30.1%,50:17,20,17-20,85%,1,0-1,0%,22,16-22,72.7%
0,0,6,,0,0,0,1,1,0%,0,0,0,0,,容毅燊,78,,52,,0,0,0,1,0%,0,0,0%,00:06,0,0-0,0%,0,0-0,0%,0,0-0,0%
0,-5,154,,0,0,0,0,0,0%,0,0,0,0,,吳岱豪,71,,54,,0,0,0,0,0%,0,0,0%,02:34,0,0-0,0%,0,0-0,0%,0,0-0,0%
