points,positive,starter,turnover,ast,blk,reb_d,eff,efgp,reb_o,pfoul,name_alt,player_id,name,jersey,stl,reb,tsp,mins,two,two_m_two,twop,trey,trey_m_trey,treyp,ft,ft_m_ft,ftp
17,14,,1,4,0,2,16,57.69%,0,1,林俊吉,90,林俊吉,11,1,2,61.24%,22:14,8,3-8,37.5%,8,3-5,60%,2,2-2,100%
18,2,,4,5,3,13,30,66.67%,2,4,李德威,94,李德威,26,0,15,65.41%,35:02,9,5-9,55.56%,9,2-3,66.67%,4,2-4,50%
8,-1,,0,0,0,3,10,100%,0,0,陳振傑,148,陳振傑,0,0,3,100%,17:32,1,1-1,100%,1,2-3,66.67%,0,0-0,0%
0,-5,,0,0,0,0,0,0%,0,0,楊盛硯,93,楊盛硯,18,0,0,0%,00:52,0,0-0,0%,0,0-0,0%,0,0-0,0%
7,-5,〇,0,4,0,2,10,58.33%,1,4,吳家駿,215,吳家駿,3,1,3,50.87%,23:29,5,2-5,40%,5,1-1,100%,2,0-2,0%
0,-8,,2,0,0,2,0,0%,1,1,林耀宗,59,林耀宗,7,0,3,0%,05:45,1,0-1,0%,1,0-0,0%,0,0-0,0%
5,4,〇,0,2,0,3,7,41.67%,1,1,盧冠良,278,盧冠良,28,0,4,41.67%,22:35,2,1-2,50%,2,1-4,25%,0,0-0,0%
3,6,,3,1,1,5,7,100%,1,1,周柏臣,279,周柏臣,88,0,6,79.79%,14:59,1,1-1,100%,1,0-0,0%,2,1-2,50%
30,5,〇,5,0,0,8,18,61.9%,2,4,卡拉曼,349,卡拉曼,35,0,10,56.14%,35:32,18,13-18,72.22%,18,0-3,0%,13,4-13,30.77%
10,-1,〇,1,3,0,5,15,71.43%,0,2,錢肯尼,149,錢肯尼,23,0,5,71.43%,24:35,6,5-6,83.33%,6,0-1,0%,0,0-0,0%
7,-1,,2,2,1,3,10,70%,0,5,吳永盛,229,吳永盛,14,1,3,70%,26:00,2,2-2,100%,2,1-3,33.33%,0,0-0,0%
3,12,,0,1,0,1,5,75%,0,1,簡浩,222,簡浩,21,1,1,75%,06:43,0,0-0,0%,0,1-2,50%,0,0-0,0%
2,3,〇,0,0,0,0,-1,20%,4,2,吉爾貝克,212,吉爾貝克,34,0,4,15.82%,04:42,5,1-5,20%,5,0-0,0%,3,0-3,0%
